Sun Jun  5 14:49:47 2016, 1465130987.306,  5087.735,  5087.375,    10.918,     0.150,    72.787,     1.638,   207.322,  8082.542
Sun Jun  5 14:50:53 2016, 1465131053.919,  5154.524,  5154.165,    10.911,     0.149,    73.228,     1.626,   210.088,  8191.215
Sun Jun  5 14:52:00 2016, 1465131120.773,  5221.385,  5221.026,    10.910,     0.148,    73.716,     1.615,   212.860,  8300.174
Sun Jun  5 14:53:07 2016, 1465131187.555,  5288.215,  5287.856,    10.915,     0.149,    73.255,     1.626,   215.622,  8408.913
Sun Jun  5 14:54:14 2016, 1465131254.383,  5354.697,  5354.337,    10.915,     0.150,    72.767,     1.637,   218.371,  8516.769
Sun Jun  5 14:55:21 2016, 1465131321.067,  5421.568,  5421.208,    10.918,     0.149,    73.275,     1.627,   221.136,  8625.416
Sun Jun  5 14:56:27 2016, 1465131387.896,  5488.868,  5488.507,    10.923,     0.149,    73.309,     1.628,   223.912,  8734.664
Sun Jun  5 14:57:36 2016, 1465131456.698,  5557.007,  5556.647,    10.908,     0.148,    73.703,     1.614,   226.723,  8844.989
Sun Jun  5 14:58:43 2016, 1465131523.426,  5623.941,  5623.347,    10.914,     0.150,    72.760,     1.637,   229.471,  8952.993
Sun Jun  5 14:59:50 2016, 1465131590.347,  5692.067,  5691.707,    10.916,     0.150,    72.773,     1.637,   232.307,  9064.456
Sun Jun  5 15:00:58 2016, 1465131658.199,  5758.837,  5758.475,    10.918,     0.148,    73.770,     1.616,   235.056,  9172.486
Sun Jun  5 15:02:05 2016, 1465131725.096,  5825.428,  5825.067,    10.911,     0.149,    73.228,     1.626,   237.822,  9281.191
Sun Jun  5 15:03:11 2016, 1465131791.694,  5891.927,  5891.566,    10.922,     0.148,    73.797,     1.616,   240.560,  9388.833
Sun Jun  5 15:04:18 2016, 1465131858.275,  5958.408,  5958.048,    10.919,     0.148,    73.777,     1.616,   243.304,  9496.660
Sun Jun  5 15:05:24 2016, 1465131924.747,  6024.948,  6024.588,    10.915,     0.149,    73.255,     1.626,   246.036,  9604.052
Sun Jun  5 15:06:31 2016, 1465131991.278,  6091.519,  6091.158,    10.910,     0.149,    73.221,     1.626,   248.768,  9711.465
Sun Jun  5 15:07:37 2016, 1465132057.847,  6158.088,  6157.729,    10.911,     0.148,    73.723,     1.615,   251.507,  9819.069
Sun Jun  5 15:08:44 2016, 1465132124.579,  6224.798,  6224.438,    10.915,     0.149,    73.255,     1.626,   254.247,  9926.764
Sun Jun  5 15:09:51 2016, 1465132191.326,  6291.269,  6290.909,    10.912,     0.147,    74.231,     1.604,   256.977, 10034.083
Sun Jun  5 15:10:57 2016, 1465132257.769,  6357.789,  6357.429,    10.914,     0.149,    73.248,     1.626,   259.713, 10141.629
Sun Jun  5 15:12:04 2016, 1465132324.639,  6424.529,  6424.170,    10.925,     0.149,    73.322,     1.628,   262.457, 10249.471
Sun Jun  5 15:13:11 2016, 1465132391.144,  6491.470,  6491.109,    10.919,     0.149,    73.282,     1.627,   265.204, 10357.836
Sun Jun  5 15:14:17 2016, 1465132457.886,  6557.700,  6557.340,    10.920,     0.149,    73.289,     1.627,   267.938, 10464.957
Sun Jun  5 15:15:24 2016, 1465132524.424,  6624.361,  6624.000,    10.927,     0.149,    73.336,     1.628,   270.682, 10572.808
Sun Jun  5 15:16:31 2016, 1465132591.211,  6691.441,  6691.081,    10.928,     0.148,    73.838,     1.617,   273.449, 10681.616
Sun Jun  5 15:17:38 2016, 1465132658.170,  6758.151,  6757.781,    10.916,     0.148,    73.757,     1.616,   276.195, 10789.583
Sun Jun  5 15:18:44 2016, 1465132724.920,  6824.743,  6824.382,    10.929,     0.149,    73.349,     1.628,   278.937, 10897.381
Sun Jun  5 15:19:51 2016, 1465132791.477,  6891.223,  6890.862,    10.930,     0.148,    73.851,     1.618,   281.665, 11004.636
Sun Jun  5 15:20:58 2016, 1465132858.435,  6958.472,  6958.112,    10.923,     0.149,    73.309,     1.628,   284.431, 11113.413
Sun Jun  5 15:22:05 2016, 1465132925.414,  7025.182,  7024.823,    10.929,     0.146,    74.856,     1.596,   287.175, 11221.275
Sun Jun  5 15:23:12 2016, 1465132992.241,  7091.933,  7091.574,    10.927,     0.148,    73.831,     1.617,   289.923, 11329.379
Sun Jun  5 15:24:18 2016, 1465133058.987,  7158.735,  7158.374,    10.930,     0.149,    73.356,     1.629,   292.675, 11437.616
Sun Jun  5 15:25:25 2016, 1465133125.675,  7225.254,  7224.894,    10.925,     0.150,    72.833,     1.639,   295.430, 11545.991
Sun Jun  5 15:26:32 2016, 1465133192.292,  7291.975,  7291.614,    10.926,     0.149,    73.329,     1.628,   298.192, 11654.616
Sun Jun  5 15:27:39 2016, 1465133259.031,  7358.444,  7358.084,    10.923,     0.148,    73.804,     1.617,   300.945, 11762.907
Sun Jun  5 15:28:45 2016, 1465133325.549,  7425.144,  7424.785,    10.920,     0.149,    73.289,     1.627,   303.698, 11871.202
Sun Jun  5 15:29:52 2016, 1465133392.354,  7491.875,  7491.515,    10.922,     0.149,    73.302,     1.627,   306.456, 11979.703
Sun Jun  5 15:31:00 2016, 1465133460.513,  7560.044,  7559.684,    10.932,     0.149,    73.369,     1.629,   309.276, 12090.636
Sun Jun  5 15:32:07 2016, 1465133527.222,  7626.635,  7626.274,    10.934,     0.149,    73.383,     1.629,   312.027, 12198.857
Sun Jun  5 15:33:14 2016, 1465133594.630,  7694.144,  7693.784,    10.924,     0.150,    72.827,     1.639,   314.807, 12308.231
Sun Jun  5 15:34:21 2016, 1465133661.523,  7760.864,  7760.504,    10.924,     0.148,    73.811,     1.617,   317.560, 12416.574
Sun Jun  5 17:03:04 2016, 1465138984.412,  7803.281,  7803.281,    10.924,     0.148,    73.645,     1.620,   319.357, 12486.630
Sun Jun  5 17:03:04 2016, 1465138984.412,  8103.305,  8103.305,    10.926,     0.148,    73.826,     1.617,   331.700, 12972.378
Sun Jun  5 17:03:04 2016, 1465138984.412,  8403.530,  8403.530,    10.936,     0.148,    73.687,     1.623,   344.032, 13457.781
Sun Jun  5 17:03:04 2016, 1465138984.412,  8703.687,  8703.687,    10.932,     0.148,    73.826,     1.619,   356.348, 13942.693
Sun Jun  5 17:03:04 2016, 1465138984.412,  9003.858,  9003.858,    10.947,     0.148,    73.802,     1.624,   368.682, 14428.450
Sun Jun  5 17:03:04 2016, 1465138984.412,  9304.034,  9304.034,    10.952,     0.148,    74.211,     1.616,   381.006, 14913.976
Sun Jun  5 17:03:04 2016, 1465138984.412,  9604.185,  9604.185,    10.940,     0.147,    74.212,     1.613,   393.321, 15399.290
Sun Jun  5 17:03:04 2016, 1465138984.412,  9904.357,  9904.357,    10.958,     0.147,    74.290,     1.616,   405.650, 15885.280
Sun Jun  5 17:03:04 2016, 1465138984.412, 10204.530, 10204.530,    10.959,     0.149,    73.551,     1.633,   418.001, 16372.259
Sun Jun  5 17:03:04 2016, 1465138984.412, 10504.729, 10504.729,    10.956,     0.148,    73.862,     1.625,   430.313, 16857.754
Sun Jun  5 17:03:04 2016, 1465138984.412, 10804.879, 10804.879,    10.957,     0.148,    74.118,     1.620,   442.614, 17342.891
Sun Jun  5 17:03:04 2016, 1465138984.412, 11105.027, 11105.027,    10.951,     0.149,    73.660,     1.628,   454.924, 17828.439
Sun Jun  5 17:03:04 2016, 1465138984.412, 11405.198, 11405.198,    10.967,     0.147,    74.521,     1.614,   467.202, 18312.869
Sun Jun  5 17:03:04 2016, 1465138984.412, 11705.355, 11705.355,    10.954,     0.147,    74.390,     1.613,   479.496, 18797.895
Sun Jun  5 17:03:04 2016, 1465138984.412, 12005.388, 12005.388,    10.964,     0.148,    73.955,     1.625,   491.810, 19283.818
Sun Jun  5 17:03:04 2016, 1465138984.412, 12305.553, 12305.553,    10.970,     0.147,    74.539,     1.614,   504.103, 19768.959
Sun Jun  5 17:03:04 2016, 1465138984.412, 12605.606, 12605.606,    10.967,     0.148,    74.060,     1.624,   516.394, 20253.938
Sun Jun  5 17:03:04 2016, 1465138984.412, 12905.642, 12905.642,    10.969,     0.147,    74.660,     1.611,   528.710, 20739.896
Sun Jun  5 17:03:08 2016, 1465138988.865, 13095.803, 13095.444,    10.970,     0.148,    74.122,     1.624,   536.481, 21047.201
Sun Jun  5 17:04:15 2016, 1465139055.602, 13163.058, 13162.679,    10.953,     0.149,    73.510,     1.632,   539.257, 21156.765
Sun Jun  5 17:05:22 2016, 1465139122.522, 13229.723, 13229.363,    10.957,     0.149,    73.537,     1.633,   542.006, 21265.226
Sun Jun  5 17:06:29 2016, 1465139189.278, 13296.688, 13296.328,    10.958,     0.148,    74.041,     1.622,   544.762, 21374.089
Sun Jun  5 17:07:35 2016, 1465139255.872, 13363.302, 13362.943,    10.956,     0.149,    73.530,     1.632,   547.508, 21482.308
Sun Jun  5 17:08:42 2016, 1465139322.570, 13429.908, 13429.547,    10.961,     0.150,    73.073,     1.644,   550.245, 21590.275
Sun Jun  5 17:09:48 2016, 1465139388.996, 13496.523, 13496.162,    10.971,     0.149,    73.631,     1.635,   552.997, 21698.878
Sun Jun  5 17:10:55 2016, 1465139455.625, 13563.227, 13562.867,    10.958,     0.150,    73.053,     1.644,   555.751, 21807.541
Sun Jun  5 17:12:02 2016, 1465139522.103, 13631.016, 13630.426,    10.968,     0.148,    74.108,     1.623,   558.510, 21916.792
Sun Jun  5 17:13:09 2016, 1465139589.875, 13697.668, 13697.308,    10.967,     0.149,    73.604,     1.634,   561.281, 22025.751
Sun Jun  5 17:14:16 2016, 1465139656.390, 13764.851, 13764.381,    10.965,     0.148,    74.088,     1.623,   564.049, 22135.013
Sun Jun  5 17:15:23 2016, 1465139723.455, 13831.505, 13831.145,    10.973,     0.149,    73.644,     1.635,   566.798, 22243.490
Sun Jun  5 17:16:29 2016, 1465139789.932, 13898.120, 13897.760,    10.968,     0.149,    73.611,     1.634,   569.544, 22351.867
Sun Jun  5 17:17:36 2016, 1465139856.396, 13964.715, 13964.355,    10.967,     0.150,    73.113,     1.645,   572.294, 22460.400
Sun Jun  5 17:18:43 2016, 1465139923.065, 14031.800, 14031.440,    10.955,     0.149,    73.523,     1.632,   575.057, 22569.423
Sun Jun  5 17:19:50 2016, 1465139990.085, 14098.566, 14098.186,    10.954,     0.150,    73.027,     1.643,   577.812, 22678.123
Sun Jun  5 17:20:56 2016, 1465140056.616, 14165.258, 14164.898,    10.968,     0.149,    73.611,     1.634,   580.569, 22786.878
Sun Jun  5 17:22:03 2016, 1465140123.415, 14232.234, 14231.874,    10.952,     0.148,    74.000,     1.621,   583.324, 22895.744
Sun Jun  5 17:23:10 2016, 1465140190.109, 14298.968, 14298.609,    10.965,     0.149,    73.591,     1.634,   586.082, 23004.386
Sun Jun  5 17:24:16 2016, 1465140256.642, 14365.574, 14365.212,    10.966,     0.150,    73.107,     1.645,   588.826, 23112.646
Sun Jun  5 17:25:23 2016, 1465140323.240, 14432.257, 14431.897,    10.962,     0.148,    74.068,     1.622,   591.578, 23221.169
Sun Jun  5 17:26:29 2016, 1465140389.751, 14498.872, 14498.512,    10.964,     0.149,    73.584,     1.634,   594.325, 23329.556
Sun Jun  5 17:27:36 2016, 1465140456.298, 14565.477, 14565.116,    10.953,     0.148,    74.007,     1.621,   597.066, 23437.646
Sun Jun  5 17:28:42 2016, 1465140522.848, 14632.443, 14632.083,    10.957,     0.150,    73.047,     1.644,   599.827, 23546.542
Sun Jun  5 17:29:51 2016, 1465140591.264, 14700.670, 14700.311,    10.954,     0.149,    73.517,     1.632,   602.646, 23657.691
Sun Jun  5 17:30:57 2016, 1465140657.740, 14767.606, 14767.246,    10.947,     0.150,    72.980,     1.642,   605.409, 23766.716
Sun Jun  5 17:32:04 2016, 1465140724.627, 14834.240, 14833.880,    10.951,     0.150,    73.007,     1.643,   608.161, 23875.187
Sun Jun  5 17:33:11 2016, 1465140791.102, 14900.963, 14900.604,    10.959,     0.149,    73.550,     1.633,   610.914, 23983.775
